time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-24T18:33:00.610Z,33.312,-116.356,5.592,2.82,ml,0,35.4,,0.31,ci,ci9074310,2016-02-12T09:34:22.182Z,"6km NNE of Borrego Springs, California",earthquake,,,,116,reviewed,ci,ci
1998-12-24T16:51:15.650Z,32.714,-115.914,5.279,2.5,mc,0,74.3,0.06691,0.214,ci,ci9074306,2016-02-12T09:34:18.791Z,"8km ESE of Ocotillo, California",earthquake,,3.739,,31,reviewed,ci,ci
1998-12-24T08:54:08.100Z,33.387,-116.338,1.487,2.78,ml,0,30.5,,0.27,ci,ci9074295,2016-02-12T22:25:09.375Z,"15km NNE of Borrego Springs, California",earthquake,,0.179,,130,reviewed,ci,ci
1998-12-24T06:34:34.760Z,40.3125,-124.5638333,19.58,3.33,ml,61,232,0.2378,0.08,nc,nc30210748,2016-12-29T14:24:12.060Z,"offshore Northern California",earthquake,0.55,0.29,,4,reviewed,nc,nc
1998-12-24T00:15:12.080Z,33.67,-117.02,0.034,2.51,mc,0,67.1,,0.231,ci,ci9074262,2016-02-13T00:57:39.273Z,"7km SE of Winchester, California",quarry blast,,0.323,,61,reviewed,ci,ci
1998-12-23T23:26:19.140Z,46.708,-122.7798333,0.805,2.9,md,6,139,0.06541,0.04,uw,uw10471413,2016-07-23T18:48:21.890Z,"Washington",explosion,0.242,0.3,0.03,4,reviewed,uw,uw
1998-12-23T15:14:47.820Z,37.4768333,-118.8101667,6.629,3,md,31,123,0.06126,0.04,nc,nc40084217,2016-12-29T14:21:55.340Z,"Central California",earthquake,0.31,0.61,0.13,41,reviewed,nc,nc
1998-12-23T13:19:46.710Z,40.6388333,-122.4091667,22.904,2.86,md,16,54,0.08919,0.05,nc,nc30210611,2016-12-29T14:21:40.093Z,"Northern California",earthquake,0.33,0.47,0.11,27,reviewed,nc,nc
1998-12-23T11:18:04.170Z,37.9396667,-122.0998333,11.402,2.64,md,74,52,0.01712,0.1,nc,nc30210745,2016-12-29T14:21:26.920Z,"San Francisco Bay area, California",earthquake,0.11,0.25,0.12,99,reviewed,nc,nc
1998-12-23T01:40:04.560Z,32.027,-115.399,5.793,2.6,ml,0,247.6,0.6796,0.241,ci,ci9074211,2016-02-12T04:44:12.803Z,"31km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,25,reviewed,ci,ci
1998-12-22T19:26:03.840Z,33.892,-120.308,5.249,2.69,mc,0,208.7,,0.349,ci,ci9074188,2016-02-11T21:09:53.417Z,"16km SSE of San Miguel Is., California",earthquake,,,,16,reviewed,ci,ci
1998-12-22T19:20:26.580Z,40.6371667,-122.4086667,22.934,2.59,md,16,55,0.09009,0.05,nc,nc30210497,2016-12-29T14:18:00.759Z,"Northern California",earthquake,0.29,0.48,0.28,22,reviewed,nc,nc
1998-12-22T18:19:54.290Z,40.2868333,-124.1596667,15.14,2.67,md,5,235,0.1009,0.03,nc,nc30210486,2016-12-29T14:17:36.069Z,"Northern California",earthquake,7.77,3.88,0.23,3,reviewed,nc,nc
1998-12-22T15:17:53.040Z,36.491,-117.892,4.468,2.53,mc,0,290.2,0.3737,0.191,ci,ci9074167,2016-02-13T11:01:28.257Z,"19km ESE of Lone Pine, California",earthquake,,,,19,reviewed,ci,ci
1998-12-22T08:53:52.720Z,32.052,-115.419,5.778,2.54,mc,0,245.3,0.6499,0.35,ci,ci9074149,2016-02-11T23:44:21.286Z,"30km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,11,reviewed,ci,ci
1998-12-22T06:07:42.130Z,38.6703333,-119.8565,-0.534,2.75,md,26,201,0.627,0.04,nc,nc30210430,2016-12-29T14:15:22.580Z,"Northern California",earthquake,0.47,2.4,0.13,19,reviewed,nc,nc
1998-12-22T05:29:10.030Z,33.496,-116.562,9.363,2.89,ml,0,32.6,,0.273,ci,ci9074156,2016-02-13T08:33:08.552Z,"12km ESE of Anza, California",earthquake,,0.154,,119,reviewed,ci,ci
1998-12-22T03:59:52.980Z,33.275,-116.794,5.339,2.57,ml,0,47.8,,0.209,ci,ci9074141,2016-02-13T00:57:33.127Z,"5km NW of Lake Henshaw, California",earthquake,,,,89,reviewed,ci,ci
1998-12-22T01:17:47.730Z,47.993,-115.206,12.3,4.7,ml,,,,,us,usp0008zzr,2014-11-07T01:06:41.133Z,"western Montana",earthquake,,,,,reviewed,but,but
1998-12-21T22:55:28.520Z,32.676,-115.807,5.189,2.7,ml,0,142.2,0.07302,0.276,ci,ci9074130,2016-02-12T14:45:49.373Z,"19km ESE of Ocotillo, California",earthquake,,0.456,,60,reviewed,ci,ci
1998-12-21T21:10:06.790Z,32.067,-115.409,5.97,2.59,mc,0,258.5,0.6398,0.375,ci,ci9074122,2016-02-12T22:25:01.200Z,"29km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,6,reviewed,ci,ci
1998-12-21T21:07:10.580Z,33.393,-117.002,6.881,2.62,ml,0,72.3,,0.252,ci,ci9074121,2016-02-13T03:30:47.477Z,"8km ENE of Pala, California",earthquake,,3.108,,101,reviewed,ci,ci
1998-12-21T17:19:42.890Z,39.382,-123.567,10.767,2.53,md,4,228,0.01982,0,nc,nc40084115,2016-12-29T14:13:21.221Z,"Northern California",earthquake,1.1,0.63,1.18,5,reviewed,nc,nc
1998-12-21T16:06:38.200Z,31.983,-115.77,5.62,2.71,mc,0,309.4,0.6654,0.145,ci,ci9074107,2016-02-12T14:45:44.317Z,"63km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,4,reviewed,ci,ci
1998-12-21T14:21:58.990Z,39.014,-122.8873333,3.783,2.87,md,13,297,0.5,1.09,nc,nc30210300,2016-12-29T14:12:44.840Z,"Northern California",earthquake,45.59,27.96,0.05,5,reviewed,nc,nc
1998-12-21T03:15:16.500Z,33.5,-117.919,5.447,2.56,ml,0,125.9,0.3408,0.318,ci,ci9074079,2016-02-11T21:09:47.073Z,"13km S of Newport Beach, California",earthquake,,,,97,reviewed,ci,ci
1998-12-21T02:18:31.760Z,33.513,-117.916,5.447,2.76,ml,0,93,,0.226,ci,ci9074076,2016-02-12T14:45:39.913Z,"12km S of Newport Beach, California",earthquake,,,,116,reviewed,ci,ci
1998-12-20T19:20:52.080Z,35.125,-120.434,5.364,2.94,ml,0,153.7,,0.278,ci,ci9074052,2016-02-13T03:30:43.727Z,"10km NNE of Nipomo, California",earthquake,,,,28,reviewed,ci,ci
1998-12-20T14:25:45.240Z,33.509,-117.882,5.441,3.44,mc,0,94,,0.442,ci,ci9074053,2016-02-12T22:24:56.406Z,"10km WSW of Laguna Beach, California",earthquake,,29.529,,115,reviewed,ci,ci
1998-12-20T14:25:44.740Z,33.508,-117.924,11.376,3.68,ml,0,93.5,,0.359,ci,ci9074054,2016-02-11T23:44:13.859Z,"12km S of Newport Beach, California",earthquake,,0.441,,167,reviewed,ci,ci
1998-12-20T14:23:39.730Z,33.504,-117.917,6.526,3.23,ml,0,94,,0.284,ci,ci9074051,2016-02-12T02:16:13.930Z,"13km S of Newport Beach, California",earthquake,,4.765,,148,reviewed,ci,ci
1998-12-20T04:33:29.770Z,35.759,-116.589,4.859,2.74,ml,0,205.2,0.4893,0.232,ci,ci9074021,2016-02-12T17:20:06.462Z,"34km WSW of Tecopa, California",earthquake,,,,48,reviewed,ci,ci
1998-12-19T18:10:30.980Z,36.706,-121.0601667,5.025,2.59,md,4,167,0.3856,0.33,nc,nc40083890,2016-12-29T14:08:07.380Z,"Central California",earthquake,4.84,25.41,,1,reviewed,nc,nc
1998-12-19T08:54:57.730Z,37.1143333,-121.3946667,4.562,2.94,md,4,148,0.0982,0.38,nc,nc40083886,2016-12-29T14:07:50.719Z,"Northern California",earthquake,2.33,10.66,0.26,3,reviewed,nc,nc
1998-12-19T01:06:03.480Z,33.338,-115.717,4,2.54,ml,0,46.1,,0.265,ci,ci3305886,2016-02-11T23:44:07.684Z,"2km SE of Bombay Beach, California",earthquake,,0.091,,32,reviewed,ci,ci
1998-12-19T01:05:10.850Z,32.069,-115.422,5.778,3.2,ml,0,243.6,0.6334,0.356,ci,ci9073955,2016-02-12T12:04:25.083Z,"30km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,28,reviewed,ci,ci
1998-12-18T12:39:44.750Z,34.1098333,-116.9213333,2.944,2.78,ml,61,25,,0.2,ci,ci3305885,2016-04-01T22:55:39.317Z,"14km NE of Yucaipa, CA",earthquake,0.24,0.51,0.21,46,reviewed,ci,ci
1998-12-18T09:38:59.190Z,33.638,-119.075,5.676,3.92,ml,0,84.7,,0.362,ci,ci9073877,2016-02-12T14:45:33.626Z,"18km N of Santa Barbara Is., California",earthquake,,,,173,reviewed,ci,ci
1998-12-18T00:59:04.730Z,37.3943333,-118.9075,0.711,2.74,md,17,144,0.2252,0.04,nc,nc30209889,2016-12-29T14:04:59.393Z,"Central California",earthquake,0.52,2.58,0.26,16,reviewed,nc,nc
1998-12-17T23:26:05.490Z,46.4133333,-121.2901667,0.445,2.5,md,47,41,0.2643,0.18,uw,uw10469393,2016-07-23T18:47:57.380Z,"Washington",earthquake,0.036,0.08,0.06,9,reviewed,uw,uw
1998-12-17T22:54:19.180Z,40.6326667,-122.4086667,22.534,2.9,md,18,58,0.09099,0.07,nc,nc30209851,2016-12-29T14:04:27.430Z,"Northern California",earthquake,0.29,0.51,0.1,33,reviewed,nc,nc
1998-12-17T15:00:46.760Z,40.6343333,-122.414,20.637,3.2,md,19,60,0.08649,0.06,nc,nc30209700,2016-12-29T14:03:18.100Z,"Northern California",earthquake,0.26,0.49,0.11,53,reviewed,nc,nc
1998-12-17T14:00:52.540Z,37.4053333,-118.918,6.359,3.21,md,18,188,0.2108,0.05,nc,nc30209696,2016-12-29T14:02:58.630Z,"Central California",earthquake,0.62,1.65,0.08,25,reviewed,nc,nc
1998-12-17T10:32:13.100Z,37.5306667,-118.8141667,3.931,3.8,mw,11,206,0.1423,0.02,nc,nc30209664,2016-12-29T14:02:17.310Z,"Central California",earthquake,0.77,1.8,,4,reviewed,nc,nc
1998-12-17T05:39:26.220Z,39.9411667,-120.8468333,-1.523,3.11,md,76,103,0.4595,0.39,nc,nc30209651,2016-12-29T14:01:26.940Z,"Northern California",earthquake,0.66,1.55,0.18,75,reviewed,nc,nc
1998-12-17T03:01:05.910Z,32.053,-115.436,5.972,2.99,mc,0,244.9,0.6434,0.377,ci,ci9073738,2016-02-12T19:55:11.826Z,"32km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,17,reviewed,ci,ci
